eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
161,Wincor Nixdorf,Germany,Computer services (9533),104.53,8.2,"2,319",8.1,4.5,2.6,2.2,8.3,9,10.7,,
162,Linde,Germany,Chemicals (135),104.00,7.2,"12,663",-0.1,0.8,10.5,7.7,10.1,51,1.5,,
163,Misys,UK,Software (9537),102.92,38.0,716,32.4,14.4,1.7,2.0,6.8,5,8.8,,
164,TeliaSonera,Sweden,Fixed line telecommunications (653),102.53,-44.2,"9,424",7.5,1.1,12.7,12.1,27.7,30,5.9,,
165,E.ON,Germany,"Gas, water & multiutilities (757)",102.00,47.8,"86,957",26.1,0.1,10.4,9.7,3.2,94,2.5,,
166,Veolia Environnement,France,"Gas, water & multiutilities (757)",101.60,11.8,"36,826",12.6,0.3,5.3,5.9,5.2,298,4.9,,
167,GKN,UK,Automobiles & parts (335),100.34,16.9,"4,527",13.1,2.2,4.4,4.5,-1.9,38,1.1,,
168,Gemalto,The Netherlands,Electronic equipment (2737),98.36,-7.3,"1,659",1.8,5.9,2.7,2.6,7.8,10,0.0,,
169,Almirall,Spain,Pharmaceuticals (4577),98.20,-3.2,903,13.9,10.9,2.1,4.2,17.7,3,10.2,,
170,Lanxess,Germany,Chemicals (135),97.00,10.2,"6,576",-0.5,1.5,5.2,4.2,5.0,15,1.3,,
171,Danisco,Denmark,Food producers (357),96.61,0.0,"2,489",-2.9,3.9,5.8,5.9,3.3,9,-7.9,,
172,SNCF,France,Industrial transportation (277),96.00,24.7,"25,188",6.3,0.4,13.9,12.1,4.4,201,-0.1,,
173,Salzgitter,Germany,Industrial metals & mining (175),95.60,65.4,"12,499",22.6,0.8,5.1,3.6,8.1,24,18.9,,
173,Orion,Finland,Pharmaceuticals (4577),95.60,6.2,711,4.0,13.5,4.6,4.1,26.0,3,3.5,,
175,Italtel,Italy,Telecommunications equipment (9578),93.93,-9.2,468,-13.9,20.1,2.0,1.3,-6.3,2,-0.2,,
176,Symrise,Germany,Chemicals (135),93.89,13.3,"1,320",3.6,7.1,2.9,2.3,14.2,5,3.9,,
177,Dexia,Belgium,Banks (835),91.00,-5.2,"3,557",-47.6,2.6,10.7,5.7,-109.0,28,4.1,,
177,Korber  ,Germany,General industrials (272),91.00,5.8,"1,749",9.2,5.2,2.5,1.9,10.7,9,3.4,,
179,Leoni,Germany,Electrical components & equipment (2733),87.02,58.2,"2,912",23.0,3.0,5.0,3.6,1.7,52,49.1,,
180,Johnson Matthey,UK,Chemicals (135),85.34,21.2,"8,118",4.7,1.1,2.2,1.8,3.6,9,10.6,,
181,Old Mutual,UK,Life insurance (857),84.82,-8.9,"-3,872",-125.7,-2.2,-2.6,0.8,-14.5,57,3.5,,
182,Krka,Slovenia,Pharmaceuticals (4577),84.75,43.5,950,21.6,8.9,14.3,13.5,24.9,8,12.2,,
183,Borealis,Austria,Chemicals (135),83.00,69.4,"6,697",5.5,1.2,6.6,7.4,4.3,5,6.4,,
183,Repsol YPF,Spain,Oil & gas producers (53),83.00,7.8,"57,740",10.8,0.1,8.2,8.5,8.7,37,-0.5,,
185,Lloyds TSB (now Lloyds Banking),UK,Banks (835),82.75,70.2,"7,254",-61.5,1.1,14.2,4.9,11.5,66,-4.4,,
186,Eberspaecher  ,Germany,Automobiles & parts (335),82.60,17.7,"2,240",-0.5,3.7,1.9,2.5,3.7,6,1.8,,
187,Rhodia,France,Chemicals (135),82.00,-26.8,"4,969",-3.2,1.7,4.9,5.0,5.5,14,-7.6,,
188,Getinge,Sweden,Health care equipment & services (453),81.34,42.1,"1,753",17.2,4.6,4.4,3.9,14.9,12,14.3,,
189,adidas,Germany,Personal goods (376),81.00,-3.6,"10,799",4.9,0.8,2.9,2.2,9.8,36,23.7,,
190,Assa Abloy,Sweden,Construction & materials (235),80.97,14.7,"3,177",4.1,2.5,1.9,2.1,12.0,33,1.4,,
191,Stora Enso,Finland,Forestry & paper (173),80.20,-21.1,"11,558",-23.7,0.7,6.1,5.3,-6.3,35,-19.9,,
192,Danske Bank,Denmark,Banks (835),79.81,20.3,"8,112",-12.9,1.0,4.5,3.8,3.7,24,0.6,,
193,ARM,UK,Semiconductors (9576),79.37,4.0,309,15.3,25.7,2.7,1.8,20.1,2,0.6,,
194,KWS SAAT,Germany,Food producers (357),78.96,7.2,599,11.4,13.2,4.7,3.7,12.4,3,4.3,,
195,Barco,Belgium,Electronic equipment (2737),77.96,-4.1,778,-5.8,10.0,1.1,1.5,-2.8,4,7.7,,
196,EPCOS,Germany,Electronic equipment (2737),77.65,21.0,"1,478",2.1,5.3,9.3,8.7,6.9,21,15.7,,
197,Software,Germany,Software (9537),76.22,15.7,721,16.0,10.6,0.5,0.9,25.1,4,3.3,,
198,Infogrames Entertainment (now Atari),France,Software (9537),75.60,46.8,291,-5.2,26.0,1.2,0.7,-20.3,1,-8.1,,
199,ASM International  ,The Netherlands,Semiconductors (9576),75.01,-9.2,747,-21.8,10.0,4.2,4.9,7.4,12,5.1,,
200,KPN,The Netherlands,Fixed line telecommunications (653),75.00,-19.4,"14,427",15.8,0.5,10.5,11.1,16.9,40,36.7,,
201,Smiths,UK,General industrials (272),74.99,-42.4,"2,401",-25.5,3.1,2.8,2.3,12.8,23,-22.3,,
202,SCI Entertainment (now Eidos),UK,Leisure goods (374),74.68,5.4,138,-7.2,54.0,3.7,3.8,-102.5,1,24.6,,
203,NicOx,France,Pharmaceuticals (4577),74.30,61.1,3,-83.7,"2,211.3",42.6,6.7,"-2,357.4",0,13.7,,
204,IMMSI,Italy,Automobiles & parts (335),74.22,3.5,"1,737",-5.9,4.3,3.0,2.2,3.6,8,0.2,,
205,DEUTZ,Germany,Industrial machinery (2757),73.40,13.1,"1,495",-13.6,4.9,4.1,4.6,1.0,5,-10.6,,
